course_info,date,total_click
FFF_2013J,123,15129
EEE_2013J,151,13600
FFF_2013B,48,14898
FFF_2013J,235,54672
FFF_2014B,100,12165
FFF_2014J,166,12669
DDD_2013B,53,11375
EEE_2014J,152,10400
FFF_2013B,42,19173
FFF_2014J,87,17163
CCC_2014B,-18,11807
CCC_2014B,205,15134
FFF_2013B,63,10357
FFF_2013J,197,10796
FFF_2014J,9,35971
FFF_2014J,65,19902
FFF_2013J,106,17707
BBB_2014J,198,11135
FFF_2014J,105,14595
FFF_2014J,182,10160
FFF_2013B,158,15615
FFF_2013B,36,19395
DDD_2013J,43,14208
FFF_2014J,74,13505
FFF_2014B,216,10643
FFF_2013B,205,18246
FFF_2014B,147,10763
FFF_2013J,43,29945
EEE_2014J,32,14138
FFF_2013B,164,21590
BBB_2013B,5,11603
FFF_2013B,152,19913
FFF_2013J,154,16258
FFF_2014B,85,16773
EEE_2013J,150,11595
CCC_2014J,15,35814
FFF_2014B,152,10624
CCC_2014J,61,11978
FFF_2014J,58,20190
FFF_2013B,107,11085
FFF_2013J,-16,11305
CCC_2014B,221,12649
FFF_2013B,12,20170
FFF_2013J,28,22223
CCC_2014B,13,15006
FFF_2014J,169,12662
CCC_2014B,66,25642
FFF_2013B,120,12746
CCC_2014J,208,11507
FFF_2013J,17,51244
FFF_2014J,204,15656
FFF_2014J,172,14608
DDD_2013J,20,10897
FFF_2013B,114,10902
EEE_2013J,157,19660
EEE_2014J,150,10563
FFF_2013J,63,10931
FFF_2013B,210,16109
DDD_2013J,5,11356
FFF_2013J,126,15118
DDD_2013J,3,13489
FFF_2014J,7,25886
FFF_2013B,143,18204
FFF_2013B,10,28470
FFF_2013B,89,21924
FFF_2014J,129,18014
BBB_2014J,3,13042
FFF_2013J,32,28288
FFF_2013J,188,10938
FFF_2013B,91,11390
FFF_2013B,88,29914
FFF_2014B,7,16969
FFF_2013J,181,11150
FFF_2014J,57,15922
CCC_2014J,24,13180
CCC_2014B,226,16654
FFF_2013J,183,13133
FFF_2013B,216,21844
CCC_2014J,25,13141
FFF_2013B,80,17895
FFF_2014B,18,24841
FFF_2013B,23,29900
FFF_2013B,8,26268
FFF_2014J,45,26530
DDD_2013B,26,10067
BBB_2014J,96,10055
FFF_2014B,10,20984
FFF_2013B,130,30671
FFF_2013J,165,17802
FFF_2014B,35,12016
FFF_2014B,82,10556
FFF_2014B,95,12230
DDD_2013J,2,15356
FFF_2013B,184,16733
FFF_2014J,161,12734
FFF_2013B,197,14280
FFF_2014B,20,18645
CCC_2014J,206,13642
FFF_2013J,87,12068
EEE_2014J,162,16386
FFF_2013B,209,11877
FFF_2014B,16,22884
FFF_2014J,29,27060
FFF_2013B,9,28312
FFF_2014J,216,15122
DDD_2013B,18,14365
CCC_2014B,64,17535
DDD_2014J,1,14282
FFF_2014J,234,28906
FFF_2013J,40,25831
EEE_2013J,67,12303
FFF_2014B,40,11911
DDD_2013B,4,10782
FFF_2014B,209,10767
FFF_2013J,42,19613
FFF_2013B,96,15387
CCC_2014B,10,17275
FFF_2014J,164,18836
FFF_2013B,61,12402
FFF_2014B,-1,11155
FFF_2013J,177,17497
EEE_2014J,14,10757
CCC_2014B,17,39567
FFF_2014J,180,10138
CCC_2014J,138,11745
FFF_2014J,18,39727
FFF_2013J,64,14851
FFF_2014J,128,19936
CCC_2014B,12,15136
FFF_2014J,143,23601
FFF_2013J,3,41343
CCC_2014J,239,29086
EEE_2014J,16,20986
EEE_2014J,129,11339
EEE_2014J,142,10933
FFF_2013J,146,14377
DDD_2013J,23,18860
FFF_2013J,66,18902
BBB_2014J,150,12436
FFF_2013B,-6,10388
DDD_2013J,17,12904
CCC_2014J,54,12274
FFF_2014J,25,29291
FFF_2013J,12,30842
CCC_2014B,228,10475
DDD_2013B,1,10873
FFF_2013J,110,15511
AAA_2013J,-10,11952
FFF_2013B,-16,12768
FFF_2014J,40,20643
DDD_2013J,32,10406
FFF_2014B,79,10518
FFF_2013B,149,17657
FFF_2014J,150,21115
FFF_2014J,55,13808
EEE_2013J,2,14378
CCC_2014J,58,11745
FFF_2013B,166,19167
FFF_2013J,0,35087
FFF_2013B,1,32504
EEE_2014J,155,10554
FFF_2013J,162,13680
FFF_2013J,186,10888
BBB_2013J,95,11081
DDD_2013B,17,12776
FFF_2013B,109,10716
CCC_2014J,44,10114
FFF_2013B,60,14280
FFF_2013B,170,14966
FFF_2013J,227,23943
DDD_2013J,26,10947
DDD_2013J,52,18289
FFF_2014J,147,17144
CCC_2014B,14,18728
EEE_2014J,12,10937
DDD_2013B,2,13183
FFF_2013B,-4,16281
FFF_2014B,28,12122
DDD_2013J,-17,10184
FFF_2014J,91,22985
FFF_2013J,194,12721
FFF_2014J,72,15383
FFF_2014B,127,17269
FFF_2014J,117,16030
BBB_2013B,9,13282
BBB_2014J,109,11614
FFF_2013J,68,14568
FFF_2013J,171,25711
FFF_2013J,229,21865
FFF_2014J,209,13172
FFF_2013B,183,14591
FFF_2013B,34,17193
CCC_2014J,142,27645
FFF_2013B,67,14117
CCC_2014J,229,10614
BBB_2013B,44,12074
FFF_2013J,233,48401
FFF_2013J,150,20236
EEE_2013J,33,11433
FFF_2013J,108,17467
BBB_2013B,30,12529
FFF_2013B,145,15813
FFF_2013J,55,15010
FFF_2013B,75,13886
FFF_2014B,135,12955
CCC_2014B,30,14215
EEE_2014J,66,13369
FFF_2013J,226,26088
FFF_2014J,173,12271
FFF_2013J,85,12052
FFF_2014B,84,12506
DDD_2013B,50,11769
CCC_2014J,9,25596
BBB_2013J,53,10296
FFF_2013B,11,24072
BBB_2014J,92,10015
CCC_2014J,13,23414
FFF_2013B,56,10386
FFF_2013J,137,18619
FFF_2013B,-2,16306
FFF_2013J,95,36325
EEE_2013J,135,10334
FFF_2014B,192,13262
CCC_2014J,29,14710
FFF_2014J,79,11122
FFF_2013J,156,22142
FFF_2014J,3,40098
FFF_2013J,-3,12734
CCC_2014J,213,31649
FFF_2013B,211,19706
BBB_2014J,95,11864
FFF_2013J,211,16113
BBB_2013B,-9,11609
CCC_2014J,107,12399
FFF_2013J,101,19515
FFF_2013J,86,15882
CCC_2014B,5,15061
FFF_2013B,51,20583
FFF_2014B,81,12386
FFF_2013B,102,12853
FFF_2013B,13,19701
FFF_2014B,50,23579
BBB_2013B,11,11019
DDD_2013B,52,15609
FFF_2014J,140,19278
CCC_2014J,62,11724
FFF_2014B,34,11815
FFF_2013B,43,24942
FFF_2013J,15,40649
FFF_2013J,44,35649
FFF_2014J,156,22861
FFF_2013B,156,17362
FFF_2014J,157,20784
DDD_2014J,3,16520
FFF_2013J,220,17923
FFF_2013B,62,10026
FFF_2013J,4,36903
FFF_2013J,53,27192
EEE_2014J,5,11258
FFF_2014J,62,13530
FFF_2013B,29,23357
BBB_2013B,19,12728
FFF_2013B,157,15285
DDD_2013J,9,15510
FFF_2013J,72,16406
CCC_2014J,7,15560
EEE_2013J,31,15705
FFF_2013J,62,12614
FFF_2013J,140,14292
BBB_2013B,8,11048
DDD_2014J,-2,10587
FFF_2013J,9,38851
FFF_2013J,129,33082
FFF_2013B,173,10731
FFF_2013J,214,22252
FFF_2014J,78,11010
FFF_2014J,224,18798
FFF_2014J,177,16160
FFF_2014B,208,10597
EEE_2014B,16,10485
FFF_2014J,106,18337
DDD_2014J,145,10134
FFF_2013J,160,11651
FFF_2013J,131,24837
FFF_2013J,16,50926
EEE_2014J,68,10450
FFF_2014B,87,14109
FFF_2014B,8,18605
FFF_2014B,144,12340
FFF_2013J,56,14641
FFF_2014B,124,10910
FFF_2013B,54,14198
FFF_2013J,73,16161
FFF_2013J,96,33876
FFF_2014B,31,17882
BBB_2013J,10,10377
EEE_2014B,19,15547
CCC_2014J,106,12041
FFF_2014B,198,10682
FFF_2014J,88,10497
FFF_2013J,155,21824
FFF_2013J,-10,10554
FFF_2013B,133,13809
FFF_2014J,49,23982
FFF_2013B,193,11948
FFF_2013B,30,25190
FFF_2014J,114,19955
FFF_2014J,200,13190
CCC_2014J,26,12457
FFF_2014B,53,15194
CCC_2014J,109,16028
FFF_2013J,201,12226
FFF_2013J,127,20662
CCC_2014B,137,37174
CCC_2014J,38,10027
FFF_2013B,126,14042
FFF_2014J,148,20962
FFF_2014J,21,33092
FFF_2014B,13,14402
FFF_2014B,66,12758
FFF_2014J,208,19078
FFF_2014B,55,11049
EEE_2014J,10,12262
FFF_2014J,48,21992
BBB_2014J,37,10515
FFF_2013J,218,23997
FFF_2013B,163,21099
FFF_2013B,68,13834
FFF_2014B,179,11320
FFF_2013B,90,13147
FFF_2013J,134,16380
FFF_2014J,54,17740
FFF_2013B,141,17705
FFF_2013J,213,24169
FFF_2014B,217,10133
FFF_2013B,195,11934
CCC_2014J,19,14800
DDD_2013J,128,10160
CCC_2014J,32,16449
FFF_2014B,-18,13344
FFF_2013B,129,28337
FFF_2013B,214,25702
EEE_2013J,32,16822
FFF_2013B,188,10121
BBB_2014J,-5,11726
CCC_2014J,6,17246
FFF_2014J,185,11642
FFF_2013J,200,14344
FFF_2013B,134,13868
BBB_2013B,18,15733
FFF_2014B,19,20409
EEE_2014J,64,10669
CCC_2014B,227,22173
FFF_2014J,211,17018
DDD_2013J,-4,10097
FFF_2014J,11,31415
EEE_2013J,12,13396
EEE_2014J,130,12714
FFF_2013J,60,16655
FFF_2013B,220,43986
BBB_2013J,18,12157
FFF_2014B,0,23062
FFF_2014J,122,15687
FFF_2014J,5,31580
DDD_2013B,19,12992
DDD_2014B,3,10321
FFF_2014J,28,22678
FFF_2013J,14,30388
CCC_2014B,134,14789
CCC_2014J,157,10484
FFF_2014B,9,20725
DDD_2014B,9,10138
FFF_2014B,206,12567
FFF_2013J,159,15422
FFF_2013B,203,13554
FFF_2013J,103,19205
FFF_2014B,130,10601
BBB_2013B,46,12715
FFF_2014B,32,17732
DDD_2014J,-4,10875
EEE_2014J,4,10512
EEE_2014J,1,10599
FFF_2014J,97,14164
FFF_2013B,15,35752
EEE_2014J,156,13985
FFF_2014J,46,26014
FFF_2013B,222,45747
FFF_2013B,179,12262
DDD_2013B,21,10731
FFF_2014J,201,13006
FFF_2014J,69,10981
BBB_2014J,39,10300
FFF_2013B,206,23728
CCC_2014B,207,26953
FFF_2014J,138,19089
FFF_2013B,150,19314
BBB_2013B,15,11667
FFF_2014B,2,24829
FFF_2013B,-11,12044
FFF_2013B,105,10495
FFF_2013B,191,13973
EEE_2013J,159,12984
FFF_2014J,31,30581
FFF_2014J,96,18327
FFF_2014B,12,18397
BBB_2014J,9,11248
EEE_2013J,16,21509
FFF_2014J,104,14000
EEE_2014J,15,16325
FFF_2014J,19,33008
CCC_2014J,236,16408
FFF_2014J,34,20295
FFF_2013B,100,14757
CCC_2014B,25,10152
EEE_2014J,3,12651
FFF_2013B,101,14719
DDD_2013B,24,18871
BBB_2014J,38,10245
BBB_2014J,2,15470
EEE_2013J,9,11528
FFF_2014J,225,24596
FFF_2014B,26,15951
FFF_2014J,235,32482
FFF_2013J,178,14902
DDD_2014J,-3,10918
FFF_2014J,112,15827
FFF_2013J,89,19705
BBB_2014J,148,10947
BBB_2013J,16,12073
FFF_2013B,7,19726
DDD_2013J,122,12215
FFF_2014B,38,13547
FFF_2013B,3,28027
FFF_2013J,91,17611
FFF_2014J,107,20123
FFF_2014J,15,37280
FFF_2014J,213,22952
EEE_2014J,159,11935
FFF_2014J,56,13507
FFF_2014J,165,16252
FFF_2013B,140,17659
FFF_2014J,232,24417
FFF_2014J,240,73321
FFF_2013J,120,12637
FFF_2014J,4,35586
FFF_2013B,5,23885
FFF_2013B,39,20558
EEE_2013J,155,15272
FFF_2014J,-4,15128
CCC_2014B,11,16293
FFF_2013J,36,27288
FFF_2013B,71,13411
FFF_2013B,167,10434
FFF_2013B,70,11391
FFF_2014J,68,14963
FFF_2014B,126,12658
FFF_2013B,168,10427
FFF_2013J,21,29823
FFF_2013J,24,33818
FFF_2013B,50,18172
FFF_2013J,49,18705
EEE_2014J,165,26164
EEE_2014B,151,11757
FFF_2014J,1,35492
FFF_2013B,115,14129
FFF_2013J,1,36598
FFF_2013B,135,19651
CCC_2014J,156,10212
FFF_2013J,90,17452
FFF_2014J,116,17604
DDD_2013J,51,14751
DDD_2014J,5,13011
FFF_2013B,35,18681
CCC_2014B,16,32470
CCC_2014J,158,10143
FFF_2014B,17,22211
FFF_2013J,130,38763
CCC_2014B,61,10600
FFF_2013J,97,17257
FFF_2013J,152,25790
EEE_2014J,128,10904
FFF_2013J,48,18769
FFF_2013B,72,15472
FFF_2014B,68,10410
FFF_2013B,174,10290
DDD_2014J,38,10023
FFF_2013J,112,10667
DDD_2014B,23,12033
BBB_2014J,93,12500
FFF_2013B,0,21823
FFF_2013B,46,34733
FFF_2013B,4,25794
CCC_2014B,0,14640
CCC_2014J,33,12073
DDD_2013J,233,21474
FFF_2013J,217,19690
FFF_2013J,117,12579
DDD_2013J,53,12736
FFF_2014B,136,12413
BBB_2014J,106,10064
FFF_2014J,22,47148
DDD_2013J,16,13887
EEE_2013J,152,11316
FFF_2013B,147,11138
FFF_2014J,-5,13185
FFF_2014J,63,13122
BBB_2013B,51,10357
FFF_2013J,128,24541
FFF_2013B,200,15661
DDD_2013J,1,12246
FFF_2014J,119,11403
FFF_2013J,7,26232
FFF_2014B,197,10526
FFF_2014J,217,22729
FFF_2013J,107,21113
FFF_2013J,148,17794
FFF_2013B,20,21254
FFF_2014J,135,43678
DDD_2013J,121,10600
FFF_2014J,86,16542
FFF_2014J,103,18048
CCC_2014J,204,10817
DDD_2013J,232,13290
FFF_2014B,194,12688
FFF_2013J,61,14335
FFF_2013J,158,19518
FFF_2013J,6,28101
FFF_2014J,24,38717
CCC_2014J,20,12550
FFF_2014B,73,10059
FFF_2014J,139,16724
FFF_2014B,11,18121
BBB_2013B,3,15853
FFF_2013J,35,21045
FFF_2013B,33,20603
FFF_2013J,41,18809
FFF_2014B,22,30063
DDD_2014J,4,12946
CCC_2014J,205,10893
CCC_2014J,67,45892
FFF_2014B,177,10948
FFF_2013J,173,22934
FFF_2014B,54,12703
FFF_2013J,98,17089
FFF_2014B,151,11775
CCC_2014J,226,10222
FFF_2014B,47,12950
FFF_2013J,149,21647
FFF_2013B,116,11926
CCC_2014J,22,12442
BBB_2014J,94,10400
DDD_2013J,22,15502
FFF_2014B,221,19833
FFF_2013J,138,17883
FFF_2014J,154,22441
EEE_2013J,122,12349
BBB_2013J,8,10096
FFF_2013B,186,13869
DDD_2013J,4,14037
FFF_2014J,190,13129
DDD_2013J,11,11759
FFF_2013B,73,15320
FFF_2014J,73,14702
EEE_2014J,9,12668
BBB_2014J,234,14263
DDD_2013J,10,13840
EEE_2014B,18,11887
CCC_2014J,1,17293
DDD_2014J,0,13117
FFF_2013B,82,15065
FFF_2013B,125,11683
FFF_2014B,21,19929
FFF_2013B,208,17298
FFF_2014J,51,44090
FFF_2014B,227,29939
FFF_2013J,234,49777
FFF_2013B,124,17851
FFF_2013B,138,15368
CCC_2014J,11,25169
FFF_2013B,218,37463
FFF_2014J,0,39533
CCC_2014J,64,21480
BBB_2014J,16,10681
CCC_2014J,144,49710
DDD_2014J,10,12826
FFF_2014J,228,22206
EEE_2013J,4,11932
FFF_2013J,29,29505
BBB_2014J,199,11162
FFF_2014J,212,22705
DDD_2013J,44,10834
EEE_2014J,151,10347
FFF_2014J,162,14019
FFF_2013J,191,12191
FFF_2014J,102,17960
CCC_2014B,206,20644
FFF_2014B,-2,10435
FFF_2013B,28,16766
DDD_2013B,30,10715
FFF_2013J,222,17396
FFF_2014J,170,15861
DDD_2014B,25,11801
FFF_2013B,-12,11883
FFF_2013J,26,25545
FFF_2013J,133,11987
CCC_2014J,214,41367
FFF_2013J,31,31528
FFF_2014J,179,13533
DDD_2014J,-25,13879
FFF_2013B,31,22829
FFF_2013B,59,13769
FFF_2014J,85,12345
FFF_2013J,51,24757
FFF_2013J,54,22389
FFF_2014B,170,19218
FFF_2014B,143,13910
FFF_2014J,203,12554
FFF_2014J,113,19447
DDD_2014J,30,10452
FFF_2013J,104,16734
FFF_2014J,23,50914
FFF_2014J,222,18121
FFF_2014J,175,11364
FFF_2013B,165,26624
FFF_2013B,84,16844
FFF_2014B,207,13960
EEE_2013J,13,12749
FFF_2013J,179,16473
CCC_2014J,23,16141
FFF_2014B,215,11684
FFF_2014J,59,19071
FFF_2014B,86,21826
FFF_2014B,186,10533
BBB_2013J,31,10253
CCC_2014B,200,10141
FFF_2013J,23,37715
FFF_2013J,50,24590
FFF_2014J,152,18269
CCC_2014J,4,20822
FFF_2013J,205,15686
FFF_2014J,127,14936
FFF_2014J,136,33107
FFF_2013B,136,17317
EEE_2014J,149,11539
FFF_2013B,212,25226
CCC_2014B,222,11492
FFF_2014J,210,12382
FFF_2014J,60,19079
FFF_2013B,142,17149
FFF_2014J,197,23006
FFF_2014J,176,11408
FFF_2014J,121,17207
FFF_2013J,-2,24186
CCC_2014J,16,43071
FFF_2014B,169,13165
FFF_2013J,204,13700
FFF_2014B,61,10364
FFF_2013J,225,21239
FFF_2014J,35,19865
DDD_2014J,31,10483
EEE_2014J,164,23404
FFF_2013B,79,17066
FFF_2014B,37,15200
CCC_2014B,197,10326
FFF_2013B,45,32454
FFF_2014J,6,26934
FFF_2013B,144,15079
FFF_2014B,224,25785
FFF_2014J,167,11701
FFF_2014J,206,20706
FFF_2013B,172,14205
FFF_2014J,100,24001
EEE_2013J,123,13484
FFF_2014J,118,11161
FFF_2014B,23,34114
FFF_2014B,222,17700
DDD_2013J,206,10249
FFF_2014B,193,12454
BBB_2014J,-9,24653
FFF_2014J,89,12085
CCC_2014J,228,11892
CCC_2014J,155,10047
FFF_2013B,123,15737
FFF_2013B,76,11049
FFF_2013J,228,21172
CCC_2014B,18,42454
FFF_2014J,52,29606
FFF_2014J,125,10988
CCC_2014B,67,36841
FFF_2013J,147,15520
FFF_2013J,75,11607
BBB_2013J,9,10905
FFF_2013B,151,14883
FFF_2013B,41,16244
FFF_2014B,191,10474
FFF_2014J,53,21397
FFF_2013B,44,28436
FFF_2014J,111,11408
CCC_2014J,14,24763
FFF_2014J,90,20032
FFF_2014B,165,11044
FFF_2014B,223,19484
CCC_2014J,21,10207
CCC_2014B,3,16406
FFF_2013J,132,11662
FFF_2013J,153,15106
FFF_2014J,17,40717
FFF_2013B,213,25025
FFF_2013B,169,14099
EEE_2014J,2,14193
FFF_2014J,214,20321
FFF_2014J,236,33975
FFF_2013J,65,19892
FFF_2014B,164,11104
FFF_2013J,59,18028
FFF_2014J,-17,13120
FFF_2013B,65,13271
FFF_2013B,-5,15440
EEE_2013J,29,12413
CCC_2014J,139,10603
FFF_2014J,84,10008
BBB_2013B,4,14584
FFF_2014B,199,12080
DDD_2014J,-5,13529
CCC_2014B,198,10429
CCC_2014J,237,17917
FFF_2013B,199,15274
FFF_2013B,127,19551
CCC_2014J,65,29381
EEE_2013J,30,14468
CCC_2014J,10,24944
FFF_2014B,80,11694
DDD_2014J,19,12775
BBB_2013B,1,10469
FFF_2013B,180,11756
FFF_2014J,221,20141
FFF_2013J,19,41858
FFF_2014J,178,15327
CCC_2014J,143,37200
FFF_2013J,169,18768
FFF_2013B,176,11927
FFF_2013J,136,17757
CCC_2014J,241,19799
FFF_2014J,229,19923
FFF_2013B,155,10516
CCC_2014J,66,37517
FFF_2013J,93,27303
FFF_2014J,99,19834
DDD_2013J,164,11433
FFF_2013B,94,16524
CCC_2014J,240,40293
FFF_2014J,168,11566
CCC_2014B,15,24239
EEE_2013J,19,25061
FFF_2014B,65,12205
EEE_2013J,17,21028
FFF_2014J,145,18417
FFF_2014J,146,16113
FFF_2013B,194,17288
CCC_2014J,3,22674
FFF_2014J,191,12660
FFF_2014B,171,14823
EEE_2013J,66,11365
FFF_2014B,128,24346
CCC_2014J,17,46812
FFF_2014B,59,12148
CCC_2014J,145,10061
FFF_2013B,83,12550
FFF_2014J,95,17702
FFF_2013J,46,42867
FFF_2013B,26,20450
EEE_2014J,157,13612
FFF_2014J,227,25928
BBB_2013J,3,12933
EEE_2014J,67,16395
FFF_2014J,133,22705
FFF_2014B,3,24187
FFF_2013J,163,18801
FFF_2013J,236,45182
FFF_2013B,6,14970
FFF_2014J,151,22123
FFF_2013J,-1,27977
FFF_2013B,139,12893
DDD_2013J,135,10607
EEE_2013J,10,11067
DDD_2013B,9,11960
FFF_2013B,22,28798
FFF_2013B,58,13346
FFF_2013B,17,43319
DDD_2013B,115,10805
FFF_2013J,145,17321
FFF_2014J,41,15328
FFF_2014B,148,13554
FFF_2014J,134,32946
CCC_2014B,101,10997
DDD_2014J,39,10495
CCC_2014J,135,10450
FFF_2013B,146,10664
FFF_2013J,203,11448
DDD_2013J,21,12192
FFF_2014B,36,14997
FFF_2013J,115,14170
CCC_2014B,8,15910
FFF_2013J,58,20027
BBB_2014J,235,14788
FFF_2013J,141,19530
FFF_2013J,174,10315
FFF_2013J,92,25144
FFF_2013J,100,22843
BBB_2014J,200,13835
CCC_2014B,225,13265
FFF_2013J,18,58175
FFF_2014J,231,19733
FFF_2013J,219,23244
DDD_2014J,2,17775
FFF_2013J,135,19734
FFF_2013J,185,14088
FFF_2013B,47,30148
FFF_2014J,207,20451
FFF_2014J,223,13836
FFF_2014J,130,18745
FFF_2014J,144,20360
FFF_2014J,158,21975
FFF_2013J,180,16282
FFF_2013J,111,12276
FFF_2014B,25,19462
CCC_2014J,234,15521
FFF_2014J,32,25885
FFF_2014J,20,30354
FFF_2013B,14,22968
EEE_2013J,149,10919
DDD_2013B,23,17734
FFF_2014J,126,12735
FFF_2013B,198,14989
FFF_2014B,94,12997
FFF_2014J,2,47077
FFF_2014J,184,12756
EEE_2013J,121,11843
BBB_2014J,237,10530
FFF_2013J,34,20570
CCC_2014J,136,10478
FFF_2013B,78,14602
FFF_2013B,217,26676
FFF_2013B,215,22665
DDD_2013J,123,10880
DDD_2013B,51,14659
CCC_2014J,31,19851
FFF_2013J,167,14438
BBB_2013B,45,10988
FFF_2014J,12,28374
FFF_2013B,171,13800
CCC_2014B,31,15250
FFF_2013J,13,25370
FFF_2013B,219,41007
EEE_2014J,31,13530
BBB_2013J,44,11539
FFF_2013J,94,31043
FFF_2013J,-18,26322
FFF_2014J,75,12079
FFF_2014J,115,19024
FFF_2013B,66,15018
EEE_2013J,14,11131
FFF_2014J,38,23496
FFF_2013B,187,11297
FFF_2013B,196,13065
FFF_2014B,58,12126
FFF_2013J,139,15331
FFF_2014J,160,15601
FFF_2014J,163,17587
BBB_2013J,46,11385
FFF_2013J,22,33314
FFF_2014J,239,56164
FFF_2013B,-1,19182
FFF_2014J,149,26190
CCC_2014J,211,16393
FFF_2013J,84,10902
FFF_2014B,142,13624
FFF_2013J,161,10562
DDD_2013J,50,11119
FFF_2014B,52,22583
FFF_2014J,30,29925
FFF_2014B,211,13557
FFF_2014B,205,13742
FFF_2013J,20,29291
FFF_2014J,233,31829
FFF_2014J,226,25903
FFF_2014J,42,19293
FFF_2013J,210,11108
FFF_2014J,94,25874
FFF_2014J,37,27643
BBB_2013J,165,11817
DDD_2013B,20,11563
FFF_2014J,171,13263
EEE_2014B,150,11443
CCC_2014J,59,12885
FFF_2014B,220,19429
FFF_2013J,8,33541
FFF_2013J,30,32858
FFF_2014J,109,17002
FFF_2013J,232,30691
FFF_2014J,198,32684
FFF_2013J,52,23978
CCC_2014B,7,11541
FFF_2013J,74,13054
EEE_2013J,65,10626
CCC_2014J,233,13234
FFF_2013J,221,18734
FFF_2014B,212,11276
FFF_2013J,207,13052
CCC_2014B,100,10700
CCC_2014B,135,21905
CCC_2014J,212,22071
