course_info,date,total_click
FFF_2013J,8,33541
FFF_2013J,30,32858
FFF_2013J,232,30691
FFF_2014J,198,32684
FFF_2013J,235,54672
FFF_2014J,23,50914
FFF_2013J,96,33876
FFF_2013B,165,26624
FFF_2014J,9,35971
FFF_2013J,25,28925
FFF_2013B,30,25190
FFF_2013J,23,37715
CCC_2014B,137,37174
FFF_2014J,16,42459
FFF_2014J,136,33107
FFF_2014J,21,33092
FFF_2014J,142,26239
FFF_2013J,43,29945
FFF_2013B,212,25226
CCC_2014J,15,35814
FFF_2013J,38,28581
FFF_2014J,13,26192
CCC_2014J,16,43071
FFF_2013B,45,32454
FFF_2014J,6,26934
FFF_2014B,224,25785
FFF_2013B,24,28526
FFF_2014B,226,41598
CCC_2014B,66,25642
FFF_2013B,129,28337
FFF_2013B,214,25702
FFF_2013J,17,51244
FFF_2014B,23,34114
FFF_2014J,11,31415
CCC_2014B,18,42454
FFF_2014J,52,29606
FFF_2013B,220,43986
CCC_2014B,67,36841
FFF_2014J,5,31580
FFF_2014J,7,25886
FFF_2013J,14,30388
FFF_2013B,10,28470
FFF_2013J,39,28585
FFF_2013B,44,28436
FFF_2013J,32,28288
FFF_2013B,19,32570
FFF_2013B,88,29914
FFF_2014B,51,28424
FFF_2013J,212,25031
FFF_2013B,15,35752
FFF_2014J,46,26014
FFF_2013B,23,29900
FFF_2013B,222,45747
FFF_2014J,-18,26946
FFF_2013B,8,26268
FFF_2013J,172,30392
FFF_2014J,45,26530
FFF_2014J,92,31735
FFF_2013B,130,30671
FFF_2014J,17,40717
FFF_2013B,213,25025
CCC_2014B,207,26953
FFF_2014J,236,33975
FFF_2014J,31,30581
FFF_2014J,29,27060
FFF_2013B,9,28312
FFF_2014J,19,33008
FFF_2013B,128,25131
FFF_2014J,234,28906
FFF_2013J,40,25831
CCC_2014J,65,29381
FFF_2013J,19,41858
CCC_2014J,143,37200
FFF_2014J,235,32482
CCC_2014B,17,39567
FFF_2014J,18,39727
FFF_2014J,241,49712
FFF_2014J,238,39599
FFF_2013J,3,41343
CCC_2014J,239,29086
FFF_2013B,3,28027
CCC_2014J,66,37517
FFF_2014J,15,37280
FFF_2014J,25,29291
FFF_2013J,12,30842
FFF_2014J,50,35174
FFF_2013J,93,27303
FFF_2014J,240,73321
CCC_2014J,240,40293
EEE_2013J,19,25061
FFF_2014J,237,33482
FFF_2014J,4,35586
FFF_2014J,219,25628
FFF_2013J,36,27288
CCC_2014J,17,46812
FFF_2013B,1,32504
FFF_2013J,0,35087
FFF_2013J,21,29823
FFF_2013J,46,42867
FFF_2013J,24,33818
EEE_2014J,165,26164
FFF_2014J,1,35492
FFF_2014J,227,25928
FFF_2013J,1,36598
FFF_2014B,1,25756
CCC_2014B,16,32470
FFF_2013J,236,45182
FFF_2013J,5,31376
FFF_2013J,-1,27977
FFF_2013J,37,30383
FFF_2013J,130,38763
FFF_2013J,152,25790
FFF_2013J,171,25711
FFF_2013B,22,28798
FFF_2013B,17,43319
CCC_2014J,142,27645
FFF_2013B,46,34733
FFF_2013J,233,48401
FFF_2013B,4,25794
FFF_2014J,134,32946
FFF_2014J,93,37774
FFF_2014J,22,47148
FFF_2014B,24,25096
FFF_2013J,226,26088
FFF_2014J,10,32170
FFF_2014J,33,25348
FFF_2013J,92,25144
CCC_2014J,9,25596
FFF_2013J,18,58175
CCC_2014B,136,27802
FFF_2013J,7,26232
FFF_2013B,47,30148
FFF_2014J,135,43678
FFF_2013B,18,46913
FFF_2013J,95,36325
FFF_2014J,32,25885
FFF_2014J,20,30354
FFF_2014J,3,40098
FFF_2013J,6,28101
CCC_2014J,213,31649
FFF_2014J,2,47077
FFF_2014J,24,38717
FFF_2013J,47,36037
FFF_2013B,217,26676
FFF_2014B,22,30063
CCC_2014J,67,45892
FFF_2013B,-18,29371
FFF_2013J,15,40649
FFF_2013J,33,26266
FFF_2014B,225,35088
FFF_2014J,12,28374
FFF_2014J,14,25752
FFF_2013J,44,35649
FFF_2014J,44,26846
FFF_2013J,13,25370
FFF_2013B,219,41007
FFF_2013J,10,31092
FFF_2013J,2,41579
FFF_2013J,94,31043
FFF_2013J,-18,26322
FFF_2013J,4,36903
FFF_2013J,53,27192
FFF_2013B,221,56837
FFF_2014J,26,25404
FFF_2013B,2,30852
FFF_2014J,51,44090
FFF_2014B,227,29939
FFF_2013J,234,49777
CCC_2014J,11,25169
FFF_2013B,218,37463
FFF_2014J,0,39533
CCC_2014J,18,50543
CCC_2014J,144,49710
FFF_2013J,22,33314
FFF_2014J,239,56164
FFF_2014J,149,26190
FFF_2013J,29,29505
FFF_2013J,9,38851
FFF_2014J,30,29925
FFF_2013J,129,33082
FFF_2013B,16,40688
FFF_2013J,20,29291
FFF_2014J,8,30100
FFF_2014J,233,31829
FFF_2014J,226,25903
FFF_2013J,26,25545
FFF_2014J,94,25874
FFF_2013J,45,34168
FFF_2014J,37,27643
CCC_2014J,214,41367
FFF_2013J,31,31528
FFF_2013J,11,33167
FFF_2013J,16,50926
